name,artist,release_date,popularity,id,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Ride Wit Me,Nelly,2000-06-27,77,3Gf5nttwcX9aaSQXRWidEZ,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",0.85,0.7,7,-6.49,1,0.0478,0.0616,1.8e-06,0.244,0.722,101.875,audio_features,spotify:track:3Gf5nttwcX9aaSQXRWidEZ,https://api.spotify.com/v1/tracks/3Gf5nttwcX9aaSQXRWidEZ,https://api.spotify.com/v1/audio-analysis/3Gf5nttwcX9aaSQXRWidEZ,291782,4
It Wasn't Me,Shaggy,2000-08-08,80,3WkibOpDF7cQ5xntM1epyf,"['pop rap', 'reggae fusion']",0.853,0.606,0,-4.596,1,0.0713,0.0561,0.0,0.313,0.654,94.759,audio_features,spotify:track:3WkibOpDF7cQ5xntM1epyf,https://api.spotify.com/v1/tracks/3WkibOpDF7cQ5xntM1epyf,https://api.spotify.com/v1/audio-analysis/3WkibOpDF7cQ5xntM1epyf,227600,4
Bye Bye Bye,*NSYNC,2000-03-21,74,62bOmKYxYg7dhrC6gH9vFn,"['boy band', 'dance pop', 'pop']",0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,audio_features,spotify:track:62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/tracks/62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/audio-analysis/62bOmKYxYg7dhrC6gH9vFn,200400,4
Down with the Sickness,Disturbed,2000-03-07,77,40rvBMQizxkIqnjPdEWY1v,"['alternative metal', 'nu metal', 'rap metal', 'rock']",0.695,0.876,3,-4.262,0,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,audio_features,spotify:track:40rvBMQizxkIqnjPdEWY1v,https://api.spotify.com/v1/tracks/40rvBMQizxkIqnjPdEWY1v,https://api.spotify.com/v1/audio-analysis/40rvBMQizxkIqnjPdEWY1v,279213,4
"So Fresh, So Clean",Outkast,2000-10-31,74,6glsMWIMIxQ4BedzLqGVi4,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",0.725,0.64,5,-7.905,0,0.332,0.0281,0.0,0.099,0.915,166.028,audio_features,spotify:track:6glsMWIMIxQ4BedzLqGVi4,https://api.spotify.com/v1/tracks/6glsMWIMIxQ4BedzLqGVi4,https://api.spotify.com/v1/audio-analysis/6glsMWIMIxQ4BedzLqGVi4,240027,3
Oops!...I Did It Again,Britney Spears,2000-05-16,80,6naxalmIoLFWR0siv8dnQQ,"['dance pop', 'pop']",0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,audio_features,spotify:track:6naxalmIoLFWR0siv8dnQQ,https://api.spotify.com/v1/tracks/6naxalmIoLFWR0siv8dnQQ,https://api.spotify.com/v1/audio-analysis/6naxalmIoLFWR0siv8dnQQ,211160,4
Crawling,Linkin Park,2000-10-24,78,57BrRMwf9LrcmuOsyGilwr,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",0.58,0.702,4,-5.565,1,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,audio_features,spotify:track:57BrRMwf9LrcmuOsyGilwr,https://api.spotify.com/v1/tracks/57BrRMwf9LrcmuOsyGilwr,https://api.spotify.com/v1/audio-analysis/57BrRMwf9LrcmuOsyGilwr,208960,4
It's Gonna Be Me,*NSYNC,2000-03-21,72,2AW37v0bDyuOzGP3XnmFuA,"['boy band', 'dance pop', 'pop']",0.636,0.873,0,-4.672,0,0.071,0.0407,1.27e-06,0.0372,0.908,165.071,audio_features,spotify:track:2AW37v0bDyuOzGP3XnmFuA,https://api.spotify.com/v1/tracks/2AW37v0bDyuOzGP3XnmFuA,https://api.spotify.com/v1/audio-analysis/2AW37v0bDyuOzGP3XnmFuA,192427,4
Me and the Birds,Duster,2000-08-22,73,4wEuNvb7oG8oZYrZPZ9rPr,['slowcore'],0.475,0.531,8,-6.552,0,0.0317,0.752,0.0634,0.53,0.223,119.643,audio_features,spotify:track:4wEuNvb7oG8oZYrZPZ9rPr,https://api.spotify.com/v1/tracks/4wEuNvb7oG8oZYrZPZ9rPr,https://api.spotify.com/v1/audio-analysis/4wEuNvb7oG8oZYrZPZ9rPr,95227,4
Rollin' (Air Raid Vehicle),Limp Bizkit,2000-10-17,78,3IV4swNduIRunHREK80owz,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",0.603,0.933,1,-3.358,1,0.171,0.00591,0.0,0.206,0.709,96.306,audio_features,spotify:track:3IV4swNduIRunHREK80owz,https://api.spotify.com/v1/tracks/3IV4swNduIRunHREK80owz,https://api.spotify.com/v1/audio-analysis/3IV4swNduIRunHREK80owz,213760,4
Papercut,Linkin Park,2000-10-24,77,1Vej0qeQ3ioKwpI6FUbRv1,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",0.524,0.939,9,-3.994,1,0.113,0.00022,0.0,0.623,0.661,150.184,audio_features,spotify:track:1Vej0qeQ3ioKwpI6FUbRv1,https://api.spotify.com/v1/tracks/1Vej0qeQ3ioKwpI6FUbRv1,https://api.spotify.com/v1/audio-analysis/1Vej0qeQ3ioKwpI6FUbRv1,184867,4
Country Grammar (Hot Shit),Nelly,2000-06-27,70,3wMUvT6eIw2L5cZFG1yH9j,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",0.865,0.664,2,-6.822,1,0.108,0.00689,0.0,0.142,0.565,162.831,audio_features,spotify:track:3wMUvT6eIw2L5cZFG1yH9j,https://api.spotify.com/v1/tracks/3wMUvT6eIw2L5cZFG1yH9j,https://api.spotify.com/v1/audio-analysis/3wMUvT6eIw2L5cZFG1yH9j,287000,4
Angel,Shaggy,2000-08-08,77,7FDV5ELOJHCGLe52AnttEd,"['pop rap', 'reggae fusion']",0.74,0.766,6,-2.939,1,0.178,0.116,0.0,0.0406,0.807,170.531,audio_features,spotify:track:7FDV5ELOJHCGLe52AnttEd,https://api.spotify.com/v1/tracks/7FDV5ELOJHCGLe52AnttEd,https://api.spotify.com/v1/audio-analysis/7FDV5ELOJHCGLe52AnttEd,235133,4
Hanging By A Moment,Lifehouse,2000,68,0wqOReZDnrefefEsrIGeR4,"['neo mellow', 'pop rock', 'post-grunge']",0.541,0.864,1,-4.915,1,0.0357,0.00118,0.0,0.0896,0.435,124.557,audio_features,spotify:track:0wqOReZDnrefefEsrIGeR4,https://api.spotify.com/v1/tracks/0wqOReZDnrefefEsrIGeR4,https://api.spotify.com/v1/audio-analysis/0wqOReZDnrefefEsrIGeR4,216067,4
Red Red Wine,UB40,2000,74,4uOKFydzAejjSFqYbv1XPt,"['reggae fusion', 'uk reggae']",0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,audio_features,spotify:track:4uOKFydzAejjSFqYbv1XPt,https://api.spotify.com/v1/tracks/4uOKFydzAejjSFqYbv1XPt,https://api.spotify.com/v1/audio-analysis/4uOKFydzAejjSFqYbv1XPt,183733,4
The Way I Am,Eminem,2000-05-23,74,23wfXwnsPZYe5A1xXRHb3J,"['detroit hip hop', 'hip hop', 'rap']",0.785,0.871,4,-2.692,0,0.265,0.144,0.0,0.309,0.315,87.248,audio_features,spotify:track:23wfXwnsPZYe5A1xXRHb3J,https://api.spotify.com/v1/tracks/23wfXwnsPZYe5A1xXRHb3J,https://api.spotify.com/v1/audio-analysis/23wfXwnsPZYe5A1xXRHb3J,290427,4
Dancing in the Moonlight,Toploader,2000,79,3Fzlg5r1IjhLk2qRw667od,['british alternative rock'],0.632,0.856,10,-3.463,1,0.0348,0.0624,0.0,0.347,0.867,119.397,audio_features,spotify:track:3Fzlg5r1IjhLk2qRw667od,https://api.spotify.com/v1/tracks/3Fzlg5r1IjhLk2qRw667od,https://api.spotify.com/v1/audio-analysis/3Fzlg5r1IjhLk2qRw667od,232693,4
Didn't Cha Know,Erykah Badu,2000-10-31,71,7pv80uUHfocFqfTytu1MVi,"['afrofuturism', 'alternative r&b', 'neo soul', 'r&b', 'soul']",0.753,0.472,3,-9.761,0,0.121,0.48,0.0133,0.284,0.816,135.277,audio_features,spotify:track:7pv80uUHfocFqfTytu1MVi,https://api.spotify.com/v1/tracks/7pv80uUHfocFqfTytu1MVi,https://api.spotify.com/v1/audio-analysis/7pv80uUHfocFqfTytu1MVi,238733,4
It's My Life,Bon Jovi,2000-01-01,81,0v1XpBHnsbkCn7iJ9Ucr1l,"['glam metal', 'rock']",0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,audio_features,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/tracks/0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/audio-analysis/0v1XpBHnsbkCn7iJ9Ucr1l,224493,4
My Way,Limp Bizkit,2000-10-17,75,2gSVKxPDww9Eep5rdvtdem,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",0.576,0.864,6,-3.981,1,0.0462,0.02,1.68e-06,0.683,0.609,97.225,audio_features,spotify:track:2gSVKxPDww9Eep5rdvtdem,https://api.spotify.com/v1/tracks/2gSVKxPDww9Eep5rdvtdem,https://api.spotify.com/v1/audio-analysis/2gSVKxPDww9Eep5rdvtdem,272973,4
El Amor Soñado,Los Tucanes De Tijuana,2000-11-01,74,587p8shYuTXUhThG3t9x60,"['banda', 'corrido', 'musica bajacaliforniana', 'musica mexicana', 'norteno']",0.665,0.599,7,-5.082,1,0.0264,0.222,0.0,0.123,0.629,142.975,audio_features,spotify:track:587p8shYuTXUhThG3t9x60,https://api.spotify.com/v1/tracks/587p8shYuTXUhThG3t9x60,https://api.spotify.com/v1/audio-analysis/587p8shYuTXUhThG3t9x60,164467,4
Follow Me,Uncle Kracker,2000-06-13,72,4KoecuyOpZaNFZ0UqVsllc,"['country', 'pop rock', 'post-grunge']",0.817,0.585,5,-4.688,1,0.0301,0.439,0.0,0.147,0.916,105.014,audio_features,spotify:track:4KoecuyOpZaNFZ0UqVsllc,https://api.spotify.com/v1/tracks/4KoecuyOpZaNFZ0UqVsllc,https://api.spotify.com/v1/audio-analysis/4KoecuyOpZaNFZ0UqVsllc,218440,4
Better Off Alone,Alice Deejay,2000-10-01,77,5XVjNRubJUW0iPhhSWpLCj,['eurodance'],0.671,0.882,8,-6.149,0,0.0552,0.00181,0.667,0.285,0.787,136.955,audio_features,spotify:track:5XVjNRubJUW0iPhhSWpLCj,https://api.spotify.com/v1/tracks/5XVjNRubJUW0iPhhSWpLCj,https://api.spotify.com/v1/audio-analysis/5XVjNRubJUW0iPhhSWpLCj,214883,4
Beautiful Day,U2,2000-01-01,66,1VuBmEauSZywQVtqbxNqka,"['irish rock', 'permanent wave', 'rock']",0.539,0.926,2,-6.495,1,0.0499,0.014,0.00136,0.36,0.454,136.279,audio_features,spotify:track:1VuBmEauSZywQVtqbxNqka,https://api.spotify.com/v1/tracks/1VuBmEauSZywQVtqbxNqka,https://api.spotify.com/v1/audio-analysis/1VuBmEauSZywQVtqbxNqka,246400,4
Absolutely (Story of a Girl) - Radio Mix,Nine Days,2000-05-16,68,3mNecsYFb6LQg7822DPXCP,['pop rock'],0.481,0.94,7,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493,audio_features,spotify:track:3mNecsYFb6LQg7822DPXCP,https://api.spotify.com/v1/tracks/3mNecsYFb6LQg7822DPXCP,https://api.spotify.com/v1/audio-analysis/3mNecsYFb6LQg7822DPXCP,189333,4
Teenage Dirtbag,Wheatus,2000-09-29,71,3LI4MmibTkXH5cGpCGZgyw,[],0.617,0.84,4,-4.063,1,0.0512,0.36,8.85e-05,0.179,0.57,94.676,audio_features,spotify:track:3LI4MmibTkXH5cGpCGZgyw,https://api.spotify.com/v1/tracks/3LI4MmibTkXH5cGpCGZgyw,https://api.spotify.com/v1/audio-analysis/3LI4MmibTkXH5cGpCGZgyw,241840,4
Digital Bath,Deftones,2000-05-16,69,2jSJm3Gv6GLxduWLenmjKS,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",0.338,0.859,4,-4.938,0,0.0824,0.00122,0.211,0.0936,0.504,92.966,audio_features,spotify:track:2jSJm3Gv6GLxduWLenmjKS,https://api.spotify.com/v1/tracks/2jSJm3Gv6GLxduWLenmjKS,https://api.spotify.com/v1/audio-analysis/2jSJm3Gv6GLxduWLenmjKS,255373,4
Take A Look Around,Limp Bizkit,2000-10-17,76,2avKuMN2QXkaG9vvHa2JLt,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,audio_features,spotify:track:2avKuMN2QXkaG9vvHa2JLt,https://api.spotify.com/v1/tracks/2avKuMN2QXkaG9vvHa2JLt,https://api.spotify.com/v1/audio-analysis/2avKuMN2QXkaG9vvHa2JLt,321040,4
A Place for My Head,Linkin Park,2000-10-24,72,5rAxhWcgFng3s570sGO2F8,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",0.603,0.908,11,-5.254,1,0.184,0.0144,0.0,0.671,0.457,133.063,audio_features,spotify:track:5rAxhWcgFng3s570sGO2F8,https://api.spotify.com/v1/tracks/5rAxhWcgFng3s570sGO2F8,https://api.spotify.com/v1/audio-analysis/5rAxhWcgFng3s570sGO2F8,184640,4
Awake,Godsmack,2000-10-31,67,6xXlurslWqFuyqTCBlErzX,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",0.395,0.756,7,-4.12,1,0.0544,1.74e-05,0.00665,0.319,0.475,112.092,audio_features,spotify:track:6xXlurslWqFuyqTCBlErzX,https://api.spotify.com/v1/tracks/6xXlurslWqFuyqTCBlErzX,https://api.spotify.com/v1/audio-analysis/6xXlurslWqFuyqTCBlErzX,304373,4
Want You Bad,The Offspring,2000-11-14,73,6hwQ69v7VbPhTTR2fOtYX7,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",0.491,0.966,4,-4.28,1,0.0538,5.59e-05,0.0,0.307,0.614,105.544,audio_features,spotify:track:6hwQ69v7VbPhTTR2fOtYX7,https://api.spotify.com/v1/tracks/6hwQ69v7VbPhTTR2fOtYX7,https://api.spotify.com/v1/audio-analysis/6hwQ69v7VbPhTTR2fOtYX7,202573,4
I Hope You Dance,Lee Ann Womack,2000-01-01,66,65B1tEOv5W294uCKbmEcFV,"['country', 'country dawn', 'country road']",0.385,0.443,7,-9.627,0,0.0295,0.0632,0.0,0.0898,0.275,151.278,audio_features,spotify:track:65B1tEOv5W294uCKbmEcFV,https://api.spotify.com/v1/tracks/65B1tEOv5W294uCKbmEcFV,https://api.spotify.com/v1/audio-analysis/65B1tEOv5W294uCKbmEcFV,294533,4
Mis Tres Viejas,Los Tucanes De Tijuana,2000-11-12,70,1yxJIFPhP2EqnQ6oWJKbmP,"['banda', 'corrido', 'musica bajacaliforniana', 'musica mexicana', 'norteno']",0.92,0.629,10,-4.717,1,0.0343,0.523,0.0,0.116,0.968,98.865,audio_features,spotify:track:1yxJIFPhP2EqnQ6oWJKbmP,https://api.spotify.com/v1/tracks/1yxJIFPhP2EqnQ6oWJKbmP,https://api.spotify.com/v1/audio-analysis/1yxJIFPhP2EqnQ6oWJKbmP,162840,4
Kill You,Eminem,2000-05-23,70,5eGEc27nnhtmcOh6RC890a,"['detroit hip hop', 'hip hop', 'rap']",0.897,0.559,11,-8.268,1,0.379,0.155,0.000127,0.296,0.677,106.991,audio_features,spotify:track:5eGEc27nnhtmcOh6RC890a,https://api.spotify.com/v1/tracks/5eGEc27nnhtmcOh6RC890a,https://api.spotify.com/v1/audio-analysis/5eGEc27nnhtmcOh6RC890a,264400,4
Bitch Please II,Eminem,2000-05-23,73,7lgvU7WnwcNZ8dbGUz8yhP,"['detroit hip hop', 'hip hop', 'rap']",0.918,0.586,1,-2.89,1,0.133,0.0783,0.0,0.145,0.779,95.517,audio_features,spotify:track:7lgvU7WnwcNZ8dbGUz8yhP,https://api.spotify.com/v1/tracks/7lgvU7WnwcNZ8dbGUz8yhP,https://api.spotify.com/v1/audio-analysis/7lgvU7WnwcNZ8dbGUz8yhP,288200,4
I'm Like A Bird,Nelly Furtado,2000,74,2aGw77pZqli064JiPuXYRi,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",0.623,0.607,10,-5.113,1,0.0353,0.147,3.29e-06,0.227,0.614,89.654,audio_features,spotify:track:2aGw77pZqli064JiPuXYRi,https://api.spotify.com/v1/tracks/2aGw77pZqli064JiPuXYRi,https://api.spotify.com/v1/audio-analysis/2aGw77pZqli064JiPuXYRi,243160,4
What's Your Fantasy (Featuring Shawna),Ludacris,2000-01-01,65,4LwOrnuxJwR7C5Sw4liY4Z,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.915,0.79,6,-3.186,0,0.207,0.16,0.0,0.112,0.967,140.095,audio_features,spotify:track:4LwOrnuxJwR7C5Sw4liY4Z,https://api.spotify.com/v1/tracks/4LwOrnuxJwR7C5Sw4liY4Z,https://api.spotify.com/v1/audio-analysis/4LwOrnuxJwR7C5Sw4liY4Z,275907,4
Judith,A Perfect Circle,2000-01-01,67,5KDNFlHAdDJ84fhK27c35X,"['alternative metal', 'alternative rock', 'nu metal', 'rock', 'supergroup']",0.366,0.894,11,-4.682,0,0.0568,3.45e-05,0.17,0.267,0.304,82.305,audio_features,spotify:track:5KDNFlHAdDJ84fhK27c35X,https://api.spotify.com/v1/tracks/5KDNFlHAdDJ84fhK27c35X,https://api.spotify.com/v1/audio-analysis/5KDNFlHAdDJ84fhK27c35X,247267,3
Hey Jude - Remastered 2015,The Beatles,2000-11-13,72,0aym2LBJBk9DAYuHHutrIl,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,audio_features,spotify:track:0aym2LBJBk9DAYuHHutrIl,https://api.spotify.com/v1/tracks/0aym2LBJBk9DAYuHHutrIl,https://api.spotify.com/v1/audio-analysis/0aym2LBJBk9DAYuHHutrIl,425653,4
Put It On Me,Ja Rule,2000-01-01,66,0OvwzS8FX73Bw7ykMRmffU,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'queens hip hop', 'rap', 'urban contemporary']",0.831,0.79,1,-4.714,0,0.165,0.0024,0.0,0.0515,0.791,93.14,audio_features,spotify:track:0OvwzS8FX73Bw7ykMRmffU,https://api.spotify.com/v1/tracks/0OvwzS8FX73Bw7ykMRmffU,https://api.spotify.com/v1/audio-analysis/0OvwzS8FX73Bw7ykMRmffU,262827,4
The Middle,Jimmy Eat World,2001-07-17,83,6GG73Jik4jUlQCkKg9JuGO,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,audio_features,spotify:track:6GG73Jik4jUlQCkKg9JuGO,https://api.spotify.com/v1/tracks/6GG73Jik4jUlQCkKg9JuGO,https://api.spotify.com/v1/audio-analysis/6GG73Jik4jUlQCkKg9JuGO,165853,4
Chop Suey!,System Of A Down,2001-09-04,85,2DlHlPMa4M17kufBvI2lEN,"['alternative metal', 'nu metal', 'rap metal', 'rock']",0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,audio_features,spotify:track:2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN,210240,4
Island In The Sun,Weezer,2001-05-15,80,2MLHyLy5z5l5YRp7momlgw,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623,audio_features,spotify:track:2MLHyLy5z5l5YRp7momlgw,https://api.spotify.com/v1/tracks/2MLHyLy5z5l5YRp7momlgw,https://api.spotify.com/v1/audio-analysis/2MLHyLy5z5l5YRp7momlgw,200307,4
Last Resort,Papa Roach,2001-04-25,82,5W8YXBz9MTIDyrpYaCg2Ky,"['alternative metal', 'nu metal', 'rap metal', 'rap rock', 'rock']",0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598,audio_features,spotify:track:5W8YXBz9MTIDyrpYaCg2Ky,https://api.spotify.com/v1/tracks/5W8YXBz9MTIDyrpYaCg2Ky,https://api.spotify.com/v1/audio-analysis/5W8YXBz9MTIDyrpYaCg2Ky,199907,4
Drops of Jupiter (Tell Me),Train,2001-03-27,80,2hKdd3qO7cWr2Jo0Bcs0MA,"['dance pop', 'neo mellow', 'pop', 'pop rock']",0.481,0.638,0,-5.862,1,0.0276,0.153,0.0,0.154,0.497,79.064,audio_features,spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,https://api.spotify.com/v1/tracks/2hKdd3qO7cWr2Jo0Bcs0MA,https://api.spotify.com/v1/audio-analysis/2hKdd3qO7cWr2Jo0Bcs0MA,259933,4
How You Remind Me,Nickelback,2001-09-11,82,0gmbgwZ8iqyMPmXefof8Yf,"['alternative metal', 'canadian rock', 'post-grunge']",0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,audio_features,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,https://api.spotify.com/v1/tracks/0gmbgwZ8iqyMPmXefof8Yf,https://api.spotify.com/v1/audio-analysis/0gmbgwZ8iqyMPmXefof8Yf,223840,4
Toxicity,System Of A Down,2001-09-04,82,0snQkGI5qnAmohLE7jTsTn,"['alternative metal', 'nu metal', 'rap metal', 'rock']",0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,audio_features,spotify:track:0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/tracks/0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/audio-analysis/0snQkGI5qnAmohLE7jTsTn,218933,3
